Track_ID,Album_ID,Name,Duration,Track_added_at,Is_Local,URL
6cJLfIqwh0tCKRjYM3WpZ5,4o8ZyBzwPxPVc2bqNG5Xfe,Darte un Beso,206933,2022-02-20T17:50:32Z,False,https://open.spotify.com/track/6cJLfIqwh0tCKRjYM3WpZ5
0jr6tT2vc4cIFPHb6wufG3,6a3RDPcFamZvFCi8VeXWkK,Promise (feat. Usher),252253,2022-02-20T06:54:23Z,False,https://open.spotify.com/track/0jr6tT2vc4cIFPHb6wufG3
5A9KGW3lv9EZ3myjHGjgZ2,6NMZDK7NY4YuaKgJadrljR,La Loca,232280,2022-02-20T06:53:14Z,False,https://open.spotify.com/track/5A9KGW3lv9EZ3myjHGjgZ2
7ouoNxUzbi6bLGOZdjp8CH,6a3RDPcFamZvFCi8VeXWkK,La Bella Y La Bestia,236106,2022-02-20T06:54:37Z,False,https://open.spotify.com/track/7ouoNxUzbi6bLGOZdjp8CH
3fPMRb2gcFTZcYmR0bXnDc,4o8ZyBzwPxPVc2bqNG5Xfe,Te Robaré,219053,2022-04-26T19:58:43Z,False,https://open.spotify.com/track/3fPMRb2gcFTZcYmR0bXnDc
18MbEK3bfXlTBQZSr74afQ,0f5EeQVAEYIfZ8f9ATHxkQ,Te Me Vas,198973,2022-04-26T19:58:21Z,False,https://open.spotify.com/track/18MbEK3bfXlTBQZSr74afQ
7K2cEcsCDZoNpjNaG5DZRd,2jzw3cgZurdN3wijt27Iyg,Cosas Del Amor,192640,2023-03-26T15:59:46Z,False,https://open.spotify.com/track/7K2cEcsCDZoNpjNaG5DZRd
6ExIo2QuQcqkJKYRIfNtNE,2Z9tU5T5Xad6u4rTGjZIy7,Hermanita,277106,2022-02-20T08:15:04Z,False,https://open.spotify.com/track/6ExIo2QuQcqkJKYRIfNtNE
5nHpjvTs9EQoK755qThyHt,3DY0cXNsokz4CCESixvI8w,Me Puedo Matar,264013,2022-02-20T06:50:43Z,False,https://open.spotify.com/track/5nHpjvTs9EQoK755qThyHt
27ze5t5tIDPlVits0KRbxT,03Sa02WIHEwH8lHfbipmrz,El Perdedor,215213,2022-02-20T06:50:12Z,False,https://open.spotify.com/track/27ze5t5tIDPlVits0KRbxT
0NAT5pDG4XcYe9sUD3fR7k,5zEFCJy9kAyD8rMbBESdYh,Mi Ultima Carta,244720,2022-04-26T19:58:08Z,False,https://open.spotify.com/track/0NAT5pDG4XcYe9sUD3fR7k
2Bhmj4XK33InfhqKPxcJ1v,57tmzh0hsnWU8znnvEWJbe,Dile al Amor,229360,2022-03-02T18:14:50Z,False,https://open.spotify.com/track/2Bhmj4XK33InfhqKPxcJ1v
0xTQia3KYNarTcKNx4kxex,2jzw3cgZurdN3wijt27Iyg,Advertencia,245932,2022-07-11T15:51:19Z,False,https://open.spotify.com/track/0xTQia3KYNarTcKNx4kxex
0p0fvQgOyFY4N6TAVGbn5m,4NCFudOnqbnak0laoZN2so,No Te Detengas,279400,2022-02-20T06:53:19Z,False,https://open.spotify.com/track/0p0fvQgOyFY4N6TAVGbn5m
0HDHY6RSHHG2ZTE0cMT4GJ,03Sa02WIHEwH8lHfbipmrz,Los Infieles,257186,2022-02-20T08:15:01Z,False,https://open.spotify.com/track/0HDHY6RSHHG2ZTE0cMT4GJ
42jedyDXAZydzL3OrslfUp,0K9TfhxcGsjOBOLrf2C4Wj,Tu Veneno,220986,2022-02-20T06:52:37Z,False,https://open.spotify.com/track/42jedyDXAZydzL3OrslfUp
3QeU2rcc5buv0B9VA0gRKH,3eXHJa6USSY7U3jYFBXamf,Llorar Lloviendo,225386,2022-04-26T19:58:11Z,False,https://open.spotify.com/track/3QeU2rcc5buv0B9VA0gRKH
5I76YtdZkFQReVgKppRd78,03Sa02WIHEwH8lHfbipmrz,Mi Corazoncito,234240,2022-04-26T19:58:23Z,False,https://open.spotify.com/track/5I76YtdZkFQReVgKppRd78
2s2WaBxoKVmPD5d5V5GmjB,0CyaoBNJ6ubtOOvMk246nv,LALA,209125,2023-10-21T21:58:17Z,False,https://open.spotify.com/track/2s2WaBxoKVmPD5d5V5GmjB
6r46lnXFbE9fr2d3KNaGbe,6bm9EpUNvQ9xMglBJGRmgS,Imitadora,234828,2022-04-26T19:58:45Z,False,https://open.spotify.com/track/6r46lnXFbE9fr2d3KNaGbe
2QnmlK1ezVLg83Yc9OJHkk,2Z9tU5T5Xad6u4rTGjZIy7,I'm Sorry,254560,2022-04-26T19:58:27Z,False,https://open.spotify.com/track/2QnmlK1ezVLg83Yc9OJHkk
4AuBmjPXmbBc0ZxFuaqcVQ,3dCEXNx36W29EYCMUAx5p5,Our Song,268053,2022-04-26T19:58:25Z,False,https://open.spotify.com/track/4AuBmjPXmbBc0ZxFuaqcVQ
69vILel8ZUtVDZuCww5I64,5PzvA2AiiTExWn8wAmDMCm,Que Venga Otra Mujer - En vivo,240741,2024-01-04T17:50:05Z,False,https://open.spotify.com/track/69vILel8ZUtVDZuCww5I64
